text,class
alternativo pl vc meireluci assinatura serviço peres fortaleza continuou comprobatórias,2
pts facilidade armário cabo ia utilizado designar estação caixa telefones,2
função anexar tarde boa tela erro segue siebel verificar anexo,2
tt_cfg-plowpi_flat_fixo_gt tt_ur_min_ld_allnet_fixo inativou fatima agosto fim miniciclo pacotes ativos permanece,2
cancelamneto cancelar oitv agrupamento então ativo dth combo tv disponibilidade,2
docass df/bd/sac irla wfm fechado matricula encontrada estado tecnico ba,1
ed torre cronos técna iv gaia cdm vi pedido fechamos,1
verdasca mario baixadas desbloquear filho vieira pagas continua bloqueio faturas,2
sldd p clg ativação attachments/remarks cta natarefa ok view atualizar,1
facco luana leonardo às sa machado pdv disponibiliza disponivel rs,2
tenatrmos wtfflo solcita cancelar dando total plano oi fixo conectado,2
roma hotéis lacqua realizações adequar aef fui padrão deixar corporativo,1
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
suspenso vtxyd úteis inadimplência pagas total fora oi prazo produtos,2
pendência tramitada pcs ad om sucesso encerrado usuária click velox,2
ga acesso carlotto consultou sox revisão murilo gid realize template,2
hitala martins execucao insfastve siac go z encerrar santos cmr,1
costanza boavista efetuarmos desbloqueio efetuem leonardo baixadas tal bruno sinal,2
php/ctm_tlmoi_pri_/lwh orderid=lwh crmextrator group=pcrm_extracao application=siebel nodeid=crm-job controlm=ctm_tlmoi_pri gaap sysout http,2
cursino fujita aplica sub-complemento subitem cpm abra aplicações complemento item,2
ukswh assumir tv total status oi procedimento impedindo produto n,1
armario estacao mg disponibilidade dores localidade elias substituição informados fernanda,2
oc jgs telefone ativo móvel sigla seguem houve permanece espelho,2
técnico teste final obrigatória mobile configurado recebendo seguinte senha mensagem,1
go voltem liberadas sac s reagendar fluxo oms ordem ctt,2
mal preenchido porta gerada tramitar numero aparece ser tentar verificar,1
php/ctm_tlmoi_pri_/wwnn orderid=wwnn group=prep_semanal_smkt mktrel nodeid=smkprd application=siebelreport controlm=ctm_tlmoi_pri gaap sysout http,2
sabem pacote devida solucionar hd habilitação anterior proceder antigo setor,1
nhdo bd munic oeste blo necessária abertura ultimo ps horizonte,1
pertile agr custodio ii izabel simular efetuada ilimitado revenda marcia,2
apolinario marinalva cancelamento retinsmud cunha ro tramitou consulta digital concluir,2
wasbt logi cont cham total preso fixo bundle bom tv,2
demais gera pendência apresentando informações instalação tela serviço usuário print,1
xjvc existia lorena validações verificou tv y desmembrar vendedora presa,1
mge charles alves instalar oferta tel circuito aparece silva critica,2
numero provisório subnum desvincular precisamos realizar linha favor,1
estao pedids vinyy vinyxq portaram portab janela ativos acessos aguardando,1
sabre bds reparos retornando fechados telefone dia contato verificar favor,2
tirado acaa bs fd tentativas acn preso via telas oct,2
demezuk agr cecilia crm angela simular aparece desejada pdv vendedora,1
winscp bdea ir empresarial perfil encontrado agendamento tratativa liberar base,2
delson fleg bloqueio silveira financeiro indevido carvalho dentro antonio permanece,2
wkeb romilda bunddle desassociar conceicao felipe obrigado ribeiro gerado nova,1
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
mensais recargas receberam moveis móveis cadastrados mês normalmente houve análise,2
américas lj viabilidade compra tijuca bloco baixo barra av cidade,1
control center terminais tarifada ura direto informados localizado inativos ligação,2
relatório sabre extrair relação gerado evidencia aparece conforme sistema informa,2
rj pzlv válido receptor débitos regional ajustar local uf gentileza,2
voltando falar chip cátia sidos final utc cem casos pagando,2
ddr fns retramddr privada permanecendo tronco retirados ramal junto chave,2
contratos divergente uso filial assinatura tipo sc categoria tratar contrato,2
nri retvincse vinculo nfcgx interf div avc exec esp prin,1
wmjocs anita valdir ramos tv pdv chamador total permanece conclusão,1
cueto afonso oms desde acl execução serviços seguir atualização zc,2
contas lucas recuperados ars ataide sql saraiva dias mobilidade itau,1
tsa cj pi su sigla interompida narciso microserviço local inconsistencia,1
comndo wcplw jonathas bundles instalação aguiar tramitada observação ach portanto,2
adx insagr insagrhn maurer combos-total agrhn servico erno albano validacao,1
msisdn junio atualmente diego inativa moura pertence componentes benefícios permanecem,2
tab-combos existência investigado fastve serviço obrigatório pbi verificamos prezado proceder,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
umjfx básico total migrar oi fixo conta titular plano pós,1
ilghonner registrados sistemico tela corretos podem carvalho correto possivel meio,2
biermann matos ricardo fevereiro mini erros ciclo referente t abaixo,1
scrol wsebhaj procedimento clicado colocado tal sistemico botão dth entanto,2
volte fluxo oms pendências liberada normal sac go pendência tratamento,1
observação visualizar campanha usuária crítica evidências consegue conectado apresenta realizar,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
flg_y ativações caindo srs ativo agosto st instância analisar pacotes,1
niuad granite circuito cadastrada facilidade verificação solicita informa contato cliente,2
ossac dias area vários unidade micro co atual z abertura,1
bp chegaram senhores conflito tn portabilidade motivo s siebel verificar,2
esodd bundle características f+pc+bl evidenciado fixo retornou recebeu conclusão liberação,2
orderid=efwy prc_step=utcd utcd site=mg pgm_step=step jobid rc odate job cancelamento,2
wzzghlj finalizada permaneceu verificamos podem q houve troca viabilidade conclusão,2
s parados abertos pendências oco encontram origem tratamento z posto,2
mud area fechamento crítica,1
sszh elkean eline aragao houver moreira pdv ro completo nome,2
tentando solicitar mensagem pedido apresenta print terminal velox informa contato,2
fechamento critica,1
condicionada sim deixa-las motivos permitem cenários fazem entender fique mudend,2
sge jumpers modem bsa travado ba gerado ref df tramitar,1
est tcs logradouro estacao log cgs problemas aa programa terminal/contrato,2
go volte sac reagendar fluxo oms ctt liberada normal eai,2
cadegoria travado vrd ars/cgs encerra item codigo empresa tipo localidade,2
lançar vale credito tentando entrou valor apresentando informando r contato,1
xbsmar apresentou planos lado total oi tv c migração n,1
renato betty jose neuza acessa número goncalves nome mínimo telefones,1
efetuo ezequiel moura deu marcos pedido mês sinal aprovisionamento dentro,1
puxar consigo elemento configurador mudança endereço,2
orderid=dybiw scacp site=psul prc_step=ufacp pgm_step=ac jobid rc odate job cancelamento,1
paralisadas impedidas três agendamento efetuar linhas informações portabilidade tela print,1
operacao_mon_sim controle_interface_ba traducao eventos interface encerramento falha tmapw mais ba,2
parado pendência verificar terminal favor,2
wcyigqq canceladao ot_mar_fid_ftv_st_vc_ld_bas refazer tv contrato retirado necessário gerou campanha,2
pybhc bloqueia entender siga tentamos aplicar total ação oi prints,2
sene amado vaz embratel permaneceu ativo quitado grato acordo antonio,1
concluidos ba´s click oms parado acordo sistemas procedimento permanece sac,2
tratativa ficando posto parada s terminal erro,1
nandinha_barreto gildete amelia souza aparece automatico mensagem batista número debito,2
sl spm fla dt pe site retirada erro,2
voice net reportado jpa voz cd mud area ia tc,2
venceu aprovação bilhete aguardando ja usuária portabilidade data sac segue,2
vencer menos baixar indisponível dias fatura,2
total pós recep ret força oi operação ocorreu c problema,2
note encerrada aberta click stc segue informa contato anexo cliente,2
sinal ofertaram uyaqe vinculaçao caro correçao aceitou pediu oitv desab,1
migração lateral pagou cms errado anexa pós conta pagamento oi,2
brenda veiga subfastve rt siac zc encerrado vencida verificado cmr,2
efetuar antonio carlos cpf/cnpj reset troca email conseguindo senha site,2
vitor consumidor tente indisponível entrar lima momento jose conseguindo tarde,1
bes grapiuna fnie bebidas distribuidora isenção aceita upgrade pede ca,2
contagem cadastrada par verificação usuário solicita stc segue informa anexo,2
xbhke direitos possuimos memso escolher á carte ponto gera total,2
bd impossibilitando abertura linha verificar anexo erro favor,1
orderid=inwa php/ctm_tlmoi_pri_/inwa arbpe_cat_rest_cdr_data group=pfx_csw_replic_cdr application=arb_tarifacao nodeid=kenpx alerta controlm=ctm_tlmoi_pri gaap sysout,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
loide tolentino bc ferreira mg dados uf login usuário pdv,1
espelhamento domínio migrado telemar perfil aplicação solicita contato oi cliente,2
mua agendar agendamento sinn posto aberto verificar soc favor,1
pedido walter tadeu funcional siqueira joao omr araujo carvalho peço,1
pulkow agostinha agra aelbe retirada agrupamento pf andamento tecle sc,1
vygj conclui luiz carlos santos telefone venda pdv bundle descrição,1
ns sgef relatório interface possível fila verificar anexo erro favor,1
pa vencido posto liberar prazo usuária voz retirada evidências consegue,1
cfm j intra-grupo compartilhado retirada cpf/cgc serviço pertence terminal atual,2
instalado clt histotico cienta wrvvhpn ploano sts uteis aguarda total,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
fechado ambos integração ja categoria wfm tratar informado encerrar nº,1
orderid=tgcz prc_step=utcd utcd site=mg pgm_step=step jobid rc odate job cancelamento,1
concluido dk evidência posto parada click soc ba verificar anexo,1
pcd cancelamento portabilidade cmd alterado tentativa liberar bp cancelar ser,1
ivamoreira icleide piva marim acompanhamento andreia inadimplencia mae confirmação torpedo,2
sim_wllpx_bd_wllprd_siebel_volumetria row sec sitescope robo monitor pedidos envio horas aguardando,2
residencial rj categoria telefone sigla inclusão alterar localidade comando possível,1
stela ycfvlt velocidade disponibilizada escolha mega reclamação/solicitação mudar disponibilidade ocorrência,1
iranilde informar conseguindo entrou santos cancelar segue contato anexo cliente,1
svoi secundária facilidade dai leitura caixa cadastrada enviada viabilidade usuária,1
total fixa associação associada conectado combo oi pós fixo linha,2
oferta/bundle fibra-res_dqx_pilot bundle_bl_mb_dqx_degustacao ant degustação campanha dqx visualização televendas associada,2
contemplado comando fcubl icr vcinr nivel vctotal borges melo aplicar,1
prossegue pagina volta busca inicial tentando usuária efetuar retirada sistema,1
produtos mozilla exclusão queixa navegadores explorer chrome realizou opção atualização,1
finalizar pedido erro,1
físico meio bdo ocs diferente vide terminais cadastrado informado fechamento,1
troca tentando usuária apresentando voz numero evidências mensagem realizar stc,1
arbor batimento x instivacao acc_pack_dupl duplicados detectados maio qr inconsistência,1
total inativada oi desativação recep ret fixo força permanece gerou,1
portos adm segmentação espelho cnpj ars s informa contato erro,2
campanha comma illegal históricos circ sql by the consultamos retornar,2
fund disputas benedito angelo tenho ano localizar visualiza att procon,2
ocorrências virginia ambiente duas presa pe informar entrou evidência apresentando,2
prvnosb instalacao fechamento erro,1
embratel aguard janela desde agradeço doadora ja base tn bp,2
oi cancelado possuía total dia tv autor configurador pós débitos,1
total recep ret fixo força oi tv operação ocorreu problema,2
cecchin recuparar blg paulo luiza terezinha so número solicitando validação,1
mensagem alzira debora chega assis número nome hotmail cadastrar nome/login,2
rolla apareci cadastro comprou mary rose situações completar lembra veja,2
adornos arany agrupador agrupada partir agrupamento duas usuario rjo j,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
pielechowski vanda teresinha juntamente mini janeiro benefício inativo permanece ciclo,2
aberturas aberto encontra possa precisa fechada fechar informou prosseguir evidências,2
sos opção marint popular retirada fone visto solicitar abertura telefone,1
operacao_mon_sim controle_interface_ba traducao eventos interface encerramento falha tmapw mais ba,1
wacpq ct tv total oi cristina migrar tratar maria fixo,2
bp portabilidade aprov trabalho aguard g horas bom tn referente,2
eai zc entregue atividade evidencia posto parada ms aberta click,2
portal aldalima otras amil paginas gomes alda computador coloca leite,2
sge encerrado facilidades sac-gfr metálico gna par travado tramitou ba,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
dificuldades recebimento reset email senha alteração clientes,2
cobilling tlm ivani ciclos carga att filial período vivo empresa,2
lagreca marquardt cabral cristiane sales mudar básico cancelado nº plano,2
eqn bapl aar liminar impossivel jec localidade estacao reinstalação incorreto,2
plus cr serviços p eagl ativação sistem atualizar crm tarefa,2
fique urgência precisa solicita demais gna go informações cancelada circuito,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
fechados codigo ba ambos s integração categoria wfm cadastrado tratar,2
operadora laís s tiago recusada autenticar doadora vivo manualmente seguir,1
instância cdrs no_bill correspondente inibidos listados inserido financeiro usos físico,1
anatel pendencia tratamentos saída retida pr posto auxiliar mud area,2
xnoby op_sistemas_n_globalweb bp encaminhada portabilidade vaga informada forma solicita demais,1
conf ca insadsl vide atualizar cancelada tela ordem stc verificar,1
instância inferior semana pbi identificar casos informado existe pacote ativação,1
soe recomandar principal bhe deixa cpe cancelado stc,2
desnecessários agilize tecnicos acumulo cancelamentos chegar ars evitar novos proceder,2
concluidos origem sucesso aberta porem click soc ba s sistema,1
cnpj´s ie´s gfh eot´s traços lembramos dsnames alteradas retransmitir sequencial,2
pre pago sonilza franquia popular ass tania mara aguiar recebe,2
soares liliancontabilidade divina lilian msg associação coelho pagina número ctt,2
pendencia comercial spo co liberada continua clarify oms,2
ms/z s kit paradas oco atualizar crm posto t tarefa,2
baixo efetuado analisar momento protocolo pr parada onde encontra dia,2
especificamente realiza contratos normalmente informou ocorre evidencia consegue consta anexo,2
borgue juros/multa domingos anteriormente thiago colaborador setembro atraso pro-forma q,1
royoo fique bundle características tv f+pc+bl evidenciado total retornou status,2
clke entrar liberar parada click favor,1
dewes segur roque execução fora serviços prazo terminal/contrato referente z,1
clkb parado oco voz posto instalação aberta click soc ba,2
efetivo questão visto alterado solicitado casos bom dias abertura solicito,2
acaiaca corretora seguros reclamados n° ligações analisar corretamente bônus prints,2
gráfico consumo divergência clientes,2
rudolf radke nao permissao informaçao progressao ativaçao selecionar parceiro permitida,1
dth sinn tc contrato espelho liberação aguardando entrou informando cancelado,2
mercado consumidor empresarial soho empr walter p rezende vieira deixa,2
iai mudporta manoel claudio diversos machado servicos nrc sc terminal/contrato,2
ics desbloqueado ura via bloqueio informado encontra ativo nao siebel,1
portabilidade conseqüentemente agradecemos reativada npac devolvida desativada ativada apoio permaneceu,1
nilza medeiros inativa sample componente postal junho pinto básico caixa,2
rosilene lopes executando rg doc tramite providenciar oliveira mudança vencida,1
incluida deu solicitados resumo adicionais ctt campos dentro apresentado inclusão,2
mecanica originar alcides programado colocado possuir créditos auto alega plataforma,2
dificuldade criação clientes portal usuário oi,1
carmelo coo ponte cop monte global localidade endereço preenchido cod,1
sge encerrado cpe travado tramitou ba ref tramitar atualizar circuito,2
sompxa interno omr processamento horas clientes afetando fibra cco-st ha,1
macena programa inclusos elegível portador claudio autor pontos incentiva teve,1
dificuldade criação clientes portal usuário oi,2
cli angellsgata msm amelia angelica trocou luzia navegador gmail reclamação,2
help-desk acionar cod ok pendencia fechamento critica stc s terminal,1
cleinte seguinte encerrar verificação circuito apresenta solicita anexo tentar informa,1
teodoro faria afirma confiança felipe atraso efetuou inadimplência verifiquem conseguimos,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
ic atendente alterado ä afetado arbor bmc_application adicionado k classe,2
reenviar indisponivel novamente registro sac,2
lgpqpt bundle características f+pc+bl evidenciado fixo retornou recebeu conclusão liberação,2
facilidade alterar atualização usuária apresentando segue crítica tela print solicita,2
devidamente credito investigação entretanto benefícios n° houve recebendo bônus tarde,2
megas isaias menezes região disponibilidade solicitando ajudar apenas bom caso,2
retirad preq emp posto aguarda bom dia gentileza verificar,1
estivesse cpe tentando apresentando evidências cto aberta velox realizar cancelamento,1
c_dec_reg xhj bp_aplic/prod/bin/cfg/ctrl/c_dec_reg_pfx_decurso_prazo arbpc_c_dec_reg_inst err prodtrap noc apresentaram instancias programa,2
tradução reprocessar integração wfm falha atividade gentileza soc erro,2
aenxo permitem macros ´s i d linhas c stc segue,2
ysijws remover surgiu tv permitida total oi informando operação migração,1
econtra unica execução ba gerou voz soc velox,2
tv adicional ponto cobrano oi sistema consta n° normal cancelamento,2
ulggs total cobrança gerando continua cancelado oi n fixo dia,2
vylwvw mb tv possível aumento venda total status oi conclusão,1
wneo surgiu total fixo oi plano tv informando informado cancelar,2
augusto pedro desde acl zc oliveira mudança terminal/contrato referente vencida,1
wdkwmn tenta registra titular/dependente fixo verifiquem sisjur estar instalado terminal,1
tel fechamento crítica,1
criada jurídico clarify impedido transferência encontra solicitada ac tela titularidade,2
suspensa edson dezembro martins histórico teve pagamento apenas cancelada desde,2
racoes contestação valente renovou retire vel cel downgrade l apurado,2
ken_bat arbpc_ken_bat_inst arq_aplic/bin/cfg/ctrl/ken_bat_pfx_batch_arb_sbl vcs err prodtrap noc apresentaram instancias programa,2
otonielsilva aperta julia envia manoel continuar silva barros pro número,1
impossibilitando fechamento crítica soc,1
bertotti cancelado cancelar claudio tv oi total necessário bundle sinn,1
fns sc atualizar p crm parada t status,1
aba johns produtos/incentiva inclusas cesta cadastradas portador melo felipe andrade,2
apresentada insoiofc ª autorizado mensagem realizou perfil normalmente ação informou,1
ifem débito automático godoy debitado identificação constar luiza duarte pinto,1
tarefa referencia qualificar sac-gfr designar metálico gna par go gerou,1
gt lt combos quot codpacotecombos codhierarquiapacote xmlns soapenv rot ns,2
assimsegue keity honorio devida camila presente ate solicitada concluída tratativa,1
tts msisdns desativado brt fechar tentando solicitar base clarify prosseguir,2
manha conseguiu normalmente acessar informa login mensagem usuário apresenta realizar,1
portabilidade agradecemos reativada consequentemente npac devolvida desativada ativada tim apoio,2
fns ok sc atualizar p crm t status,2
virtual tramitaram pabx relação net obrigado abertas ordens serviços peço,2
prorrogação debitos apos diaria vencimento judicial urgencia bloqueado multa trata,1
lamy postocom camili suelen rios jardim libera pts circuito dois,2
detalhadamente descrever problema,2
receberretornosolicitbilheteportab bilhetes provisório recebemos receptora reclamada evento tratconv msisdn r,2
digitado linha/produto reconhece portal,2
abertura-atualizacao operacao_mon_sim controle_interface_ba traducao eventos interface falha tmapw mais ba,2
necessários executar ordens baixa serviço soc dados segue anexo,1
orderid=an php/ctm_tlmoi_pri_/an ics_backlog_os_cobranca_movel_nivel_medio group=pics_controle nodeid=cobprd application=ics alerta controlm=ctm_tlmoi_pri gaap sysout,1
recarga acessos gerada vimos priscila receberam identificamos entretanto cc martins,2
bônus rally locadora customer veiculos principal componente referentes pms atendente,1
enriquecendo verificou ate executado pendências mt execução oco ba momento,1
caixa gde aparece,1
morrone dione informamos possível linha alterar detalhadamente descrever campo fixa,2
wycuve habilita carte tv quer total incluir oi opção concluir,1
débito automático código usados mozilla navegadores confira explorer digitar chrome,1
cristiene fra nubia vilela mudança alves execução seguir prazo zc,2
troca martinho pediu n coelho marcelo pedido bundle efetuar corrigir,2
começe n° cremona faturas fibra vem receber pedido bruno podem,2
muz numero rb mg localidade fechamento uf critica ddd,2
total dependente retenção força incluir oi b móvel operação ocorreu,2
linhas provisórias portadas canceladas sistêmico visto investigar solicitou cobrado abrir,1
mireia pdv tel cha prossegue simular cristiane venda permitida conjunta,1
realizada despachado alteração desistiu invalido servico baixa nova solicitou s,1
azomar miano geramos jve baixar oms liberada fechada executando cancelamento,2
sompxa interno omr processamento clientes afetando fibra cco-st ha pedido,1
paiva escritorios automatica cod rjo designado j associado local tel,1
interino gerou valor sistema informa fatura contato anexo cliente,2
l somente código franquia transact autorizador escolher permitir seria credito,2
sege protocolo auxilio necessitamos finalizado momento referente onde cnpj encontra,2
zjycuu acacias endereçoav solictou joaquina manhã tijuca barra haver ap,2
cc quantas operação pessoas deixa ferramenta/sistema exemplo afetado utilizam sistema/serviço,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
calcular data/hora promessa bd preciso categoria permite abertura verificado linha,2
direito apurado sistêmico identificado recebeu bom franquia faturas dia acesso,2
enviado vitria liberada gerado h click ba sac,2
ronaldson naves incompativeis micros pdv paula cham ana detalhadamente descrever,2
soube informar templete contratados desejam canais utilização utilizar anexo informou,2
migradas localizada om enviada atividade fila ser click ordem soc,1
ckdf go estao enviada provisionamento tramitar h ordem mais favor,1
reprocessados fechamento/cancelamento cod pend invalido permanecem tratativa wfm pendente ordem,1
consultado ag ach ocs automática execução horas comando posto mais,1
salvar sistemico gerada gerado possivel apenas solicitou devido indevidamente corrigir,2
nro zilli til endereço centro corrigido pedro aa correto telas,1
jesus jessica_miu atualiza sofreu sonia viana leandro número parte nome,2
sisraf código zerada indica stc frqvc acertar regra simulação acessos,2
aplicados cobrada vem patricia seria questão benefícios correto rodrigues valor,1
possui spo tentar consultar ja informa gerar retirada circuito aberta,2
marylletaapojos norminda mariele outlook nao número jesus reconhece agrupador almeida,2
aureliano martha mota ad rg doc providenciar baixa eai entregue,1
mahi cod-pendencia preenchido ocs fechamento critica nao,2
oitocentos reais nobil valor créditos r duplicado luis castro credito,1
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
limbo gde,2
disponibiliza divergencia obrigado sistemas vende viabilidade mb sac endereço prezados,2
vrsyrmm suspensa hs pagas total oi continua tv faturas fixo,2
orderid=lrl prc_step=utcd utcd site=mg pgm_step=step jobid rc odate job cancelamento,2
cli f bunus comprado cair carina pinho cadastrado reclamando dez,1
nigro allan moreno inclusos excluído portador devidamente havia dia autor,1
disponibiliza cormachini ferreira nathalia teresinha marlene vende caminho amaral ativação,2
object an reference set of instance not to clke falha,1
divergências esqueceu cadastro navegadores explorer recuperar chrome l incorretos tenta,2
xbnluc acusou lado total oi móvel c cancelar n fixo,2
canpanha/oferta wxhxwk ot_pai_fid_tvf_avançado_totaldvr imagem selecionado obrigatório tv configuração lado aplica,2
xjlko moises ext desabilitado serviço dth freitas tv normalmente normal,1
provisiona msisdn identificador sis chamadas enviar tt data descrição verificar,2
re-agendamento bp chegaram senhores tn motivo s siebel verificar favor,2
rone senha rone_negocios rosemaire ja live lembra expirado resgatar envia,2
borba camargo acl jose zc mudança terminal/contrato referente vencida endereço,2
gde acessar conseguindo evidencia migração segue informa contato anexo cliente,2
marketing encontrada automaticamente tentativa interface ocorre processo campanha franquia informações,1
isentas romeu reboucas leite fixo corrigido parte total associado plano,1
sasso php salete inst aprazada promessa kit pend execucao gerada,1
ssd processa debitado compra impacta vendas realizada pagamento espelho liberação,2
cassia rejeitados consequentemente rita inexistentes fevereiro componentes benefícios usos mini,1
oqxalh comunicação total tentativa apagar devido fixa sistema oi cancelada,2
robles espn watch martinez line on canais aplicativo filho acessar,2
agentes bas rodam máquinas ev alterando atribuído falhas demora logs,1
reserva codigo solicito,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
sayao agrhf aelbe bernardo municipal prefeitura agr efetuar retirada pendente,2
wypfq desabilitado bloqueada tv pagas total oi contas crm fixo,2
cicero kauacicero maceno neuza menezes número nome hotmail visualizar nome/login,2
dependente renee emanuel souza am bruno pós inclusão provisionamento banda,2
fora prazo aberta desde prezados sistema verificar terminal favor,2
